question,options,correct_label
"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",a) inhabitable zones b) dead zones c) hostile zones d) fresh zones,b
Which muscles allow your fingers to also make precise movements for actions?,a) motoric muscles b) intrinsic muscles c) fine movement muscles d) paired muscles,b
Testing what usually requires making observations or performing experiments?,a) conclusion b) homeostasis c) variables d) hypothesis,d
This sharing of electrons produces what is known as a covalent bond. covalent bonds are ~20 to 50 times stronger than what?,a) Mendelian systems b) van der waals interactions c) gravitational pull d) Newton's third law,b
Water molecules move about continuously due to what type of energy?,a) kinetic b) potential c) seismic d) optical,a
A small scale version of what type of map displays individual rock units?,a) seismic map b) geologic map c) polar map d) geographic map,b
What is defined as a change in the inherited traits of organisms over time?,a) evolution b) variation c) generation d) divergence,a
"What hormone, which is associated with luteinizing hormone and male sexuality, helps bring about physical changes in puberty?",a) estrogen b) steroids c) epinephrine d) testosterone,d
Where do angiosperms produce seeds in flowers?,a) cones b) testes c) ovaries d) germs,c
"In order to create food, what do photosynthetic protists use?",a) decayed matter b) light energy c) hydrocarbons d) thermal energy,b
What type of vertebrates are birds?,a) exothermic b) epidermal tetrapod c) invertebrates d) endothermic tetrapod,d
What type of ions do ionic compounds contain?,a) regular and irregular b) positive and negative c) negative and neutal d) positive and charged,b
All living things need air and this to survive?,a) stimuli b) habitat c) ecosystem d) water,d
The cells of all eukarya have a what?,a) chloroplast b) epidermis c) nucleus d) necrosis,c
What type of plate boundaries produce huge mountain ranges in the ocean basin?,a) coherent b) tractional c) parallel d) divergent,d
Interstitial carbides are produced by the reaction of most transition metals at high temperatures with what element?,a) nitrogen b) oxygen c) hydrogen d) carbon,d
"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",a) aphids b) fluxes c) decomposers d) Soil,c
What are the sites of protein synthesis or assembly?,a) ribosomes b) chloroplasts c) chromosomes d) plasma,a
What must replicate in the cell cycle before meiosis i takes place?,a) dna b) cell walls c) meiotic fluid d) sperm,a
What phenomenon is primarily the result of plate tectonic motions?,a) tsunamis b) eruption c) volcanoes d) earthquake,d
What is a group of neuron cell bodies in the periphery called?,a) ganglion b) crystals c) organism d) gangism,a
Where does most of our food come from?,a) angiosperms b) gymnosperms c) lichen d) microbes,a
Gases are most ideal at high temperature and what pressure?,a) absolute b) stable c) low d) high,c
Hard igneous rocks and easily dissolved sedimentary rocks respond very differently to what natural force?,a) sunlight b) evaporation c) weathering d) gravity,c
A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?,a) vitamin d b) niacin c) vitamin A d) vitamin C,a
How many people die from air pollution each year?,a) 14 million b) 17 million c) 5 million d) 22 million,d
What substances serve as catalysts in most of the biochemical reactions that take place in organisms?,a) enzymes b) iseotrops c) hormones d) carbohydrates,a
The formation of an amalgam allows the metal to react with what?,a) helium and oxygen b) cloth and plastic c) air and water d) blood and sweat,c
A pulley changes the direction of the force t exerted by the cord without changing its what?,a) magnitude b) longitude c) latitude d) position,a
What is the name of the small bumps that contain taste buds and covers the tongue?,a) lingual tonsils b) papillae c) palatine tonsils d) cuticle,b
"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?",a) motion b) gravity c) weight d) velocity,b
The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?,a) moderate permeability b) total permeability c) selective permeability d) periodic permeability,c
"In the presence of oxygen, hydrogen can interact to make what?",a) water b) acid c) helium d) carbon,a
What galaxy is our solar system a part of?,a) Bode's Galaxy b) milky way c) Centaurus d) Andromeda,b
The angle at which light bends when it enters a different medium is known as what?,a) resonance b) bounce c) frequency d) refraction,d
"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",a) lipid molecules b) protein molecules c) carbohydrate molecules d) oxygen molecules,c
Increasing the temperature of n2 molecules increases what energy of motion?,a) residual energy b) kinetic energy c) compression energy d) emotional energy,b
Which radio frequency should you listen to if you want less noise?,a) fm b) cb c) wave d) am,a
What form of radiation is the energy emitted by the sun?,a) seismic b) magnetic c) electromagnetic d) thermal,c
What is the suns innermost layer called?,a) core b) solar c) flare d) surface,a
A growth spurt requires constant divisions of what?,a) hairs b) cells c) proteins d) seeds,b
What's the term for the gradual progression from simple plants to larger more complex ones in an area?,a) primary pattern b) complex progression c) primary succession d) pattern progression,c
"Fungi may form mutualistic relationships with plants, algae, cyanobacteria, and what?",a) animals b) eggs c) farmers d) plants,a
Which cycle tracks the flow of nitrogen through an ecosystem?,a) water cycle b) nitrogen reaction c) life cycle d) nitrogen cycle,d
What consequence of a tornado is responsible for most injuries and deaths?,a) catching debris b) touring debris c) falling debris d) flying debris,d
What are the only truly innate behaviors in humans called?,a) reflexes b) automatic movements c) flinches d) feats,a
What happens to the density of air as the altitude decreases?,a) increases b) decreases c) multiplies d) remains the same,b
How do some animals change their depth?,a) mass migration b) spontaneous mutations c) metamorphosis d) by changing their density,d
What phenomenon is crowding out other species and making all the other causes of extinction worse?,a) human suburbanization b) climate change c) human overpopulation d) migration,c
Dessication is an extreme and usually fatal form of what in animals?,a) diarrhea b) dehydration c) starvation d) depletion,b
Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,a) metabolism b) respiration c) photosynthesis d) reproduction,b
The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,a) moderate extinction b) formation extinction c) mass extinction d) minor extinction,c
"Soluble minerals and clays accumulate in what soil layer, allowing it to hold more water?",a) subsoil b) topsoil c) silt d) subsurface,a
What is the common word for potential difference in a circuit?,a) velocity b) voltage c) watt d) frequency,b
How many chambers does the stomach of a crocodile have?,a) six b) two c) ten d) three,b
"When populations get close to the carrying capacity, what happens to growth?",a) halts b) dies c) slows d) spikes,c
"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good what?",a) transporter b) absorber c) magnet d) insulator,d
"Most plants grow continuously, except for what periods?",a) mutant b) winter c) dormant d) abnormal,c
What man-made devices in space are used to observe the earth's surface?,a) telescopes b) sensors c) satellites d) crystals,c
"Carboxylic acids are weak acids, meaning they are not 100% ionized in what?",a) liquid b) ethanol c) air d) water,d
An endocrine disease usually involves the secretion of too much or not enough of what?,a) sweat b) hormone c) enzyme d) metabolite,b
"In experiments with garden peas, austrian monk gregor mendel described the basic patterns of what?",a) preference b) inheritance c) color d) behavior,b
Nutrition and diet affect your metabolism. more energy is required to break down fats and proteins than this?,a) carbohydrates b) electrolytes c) minerals d) vitamins,a
What are unsaturated hydrocarbons with at least one double bond between carbon atoms called?,a) amines b) alkenes c) peptides d) enzymes,b
What is the opposite of melting?,a) evaporation b) compression c) liquidation d) freezing,d
"A unique characteristic of mammals is the ability to chew, this happens by the temporalis and the masseter allowing what?",a) Up and down b) side-to-side movement c) Bakward and forward d) Grinding,b
Most of the pathogens that cause stis enter the body through mucous membranes of which organs?,a) reproductive organs b) kidneys c) stomach d) eyes,a
The activation of what kind of buds induces branching?,a) leafy buds b) arterial buds c) axillary buds d) lymphatic buds,c
Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,a) fertilization b) sedimentation c) vivisection d) infection,a
"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of cnh2n+2. the number of carbon atoms present in an alkane has what?",a) no limit b) crippling limit c) done limit d) such limit,a
What percentage of men suffer from some form of erectile dysfunction by age 40?,a) approximately 40 percent b) approximately 60 percent c) approximately 80 percent d) approximately 10 percent,a
What secures together immovable joints and prevents them from moving?,a) dense cartilage b) light cartilage c) dense collagen d) light collagen,c
Transform faults are the site of massive what?,a) tornadoes b) earthquakes c) storms d) vibrations,b
"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",a) ice inverting b) ice crushing c) ice locking d) ice wedging,d
"The diatoms are unicellular photosynthetic protists that encase themselves in intricately patterned, glassy cell walls composed of silicon dioxide in a matrix of organic particles. these protists are a component of freshwater and these?",a) land plankton b) marine plankton c) waste plankton d) source plankton,b
What type of reactions form compounds?,a) mineral reactions b) chemical reactions c) consumption reactions d) physical reactions,b
"Millions of years ago, plants used energy from the sun to form what?",a) carbon compounds b) fossil fuels c) greenhouse gases d) evolution,a
What is the term for the process in which living things with beneficial traits produce more offspring than others do?,a) natural survival b) natural process c) natural selection d) natural variety,c
"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?",a) equilibrium b) saturation c) homogeneity d) peak,a
What protects a developing flower while it is still a bud?,a) shell b) lobes c) sepals d) petals,c
What is the term for the force of attraction between things that have a mass?,a) weight b) magnetism c) gravity d) motion,c
"What are the long, thin protein extensions in most prokaryotic cells called?",a) cingulum b) neutrons c) flagellum d) analyte,c
Dialysis is a treatment for failure of what organs?,a) lungs b) kidneys c) liver d) spleen,b
What preventive measure can protect even young children against diseases such as viral meningitis?,a) vaccination b) malnutrition c) nutrition d) surgical intervention,a
Renal plasma flow equals the blood flow per minute times the what?,a) hematocrit b) erythrocytes c) hemoglobin d) leukocytes,a
What does lattice energy of an ionic solid measure the strength of?,a) atoms b) electrons c) metals d) bonds,d
How many different types of taste can be detected by taste buds?,a) five b) three c) two d) hundreds,a
What species do humans belong to?,a) homo erectus b) homo sapiens c) monkeys d) hominids,b
Titration is a method to determine what in acids or bases?,a) concentration b) alkalinity c) glucose d) maturation,a
How many different amino acids make up proteins.,a) 30 b) 20 c) 25 d) 14,b
What are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections or acidity?,a) lesions b) hernia c) clots d) ulcers,d
"In some species, what has led to the evolution of alternative male mating behavior and morphology?",a) distributive selection b) similar selection c) sexual selection d) sexual process,c
What structure is made from dna and protein molecules coiled together?,a) enzymes b) chromosome c) bacterium d) atoms,b
What renewable energy source converts energy from the sunlight into electricity?,a) geophysical energy b) geothermal energy c) hydrostatic energy d) solar energy,d
"The radial artery and which artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region?",a) ulnar b) biceps c) triceps d) humerus,a
The bones of the skull are connected by what type of joints?,a) semi-mobile b) immovable c) adjustable d) pivoting,b
What is the lowest layer of the atmosphere?,a) troposphere b) chromosphere c) ionosphere d) lithosphere,a
What is the name of the type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?,a) meristem b) guard cell c) bundle sheth cell d) cuticle,a
Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,a) skeletons b) blood c) excretions d) ancestors,c
What does erosion do to pieces of broken rock?,a) Cancel Them b) moves them c) Smooth them d) lead them,b
The passing of traits from parents to offspring is done through what?,a) sperm b) blood c) egg d) dna,d
In a glass of sweet tea the sugar is known as the solute and the water is known as what?,a) pigment b) solvent c) calcium d) solid,b
"A few earthquakes take place away from plate boundaries, these are called what?",a) deformation earthquakes b) outer earthquakes c) distant earthquakes d) intraplate earthquakes,d
Red litmus paper turns what color when placed in a basic solution?,a) orange b) blue c) pink d) white,b
The difference between the theoretical half-reaction reduction potential and the actual voltage required is called what?,a) overpotential b) overcharge c) resistance d) excess,a
"While the egg is developing, other changes are taking place in the uterus. it develops a thick lining that is full of what?",a) tiny blood vessels b) white blood cells c) amniotic fluid d) large arteries,a
The neural plate undergoes a series of cell movements where it rolls up and forms a tube called what?,a) peripheral tube b) occular tube c) cell tube d) neural tube,d
"Due to the __________ nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot easily diffuse across the cell membrane.",a) hydrophobic b) saturated c) hydrophylic d) catalytic,a
In what way do all vertebrates reproduce?,a) biologically b) mitosis c) asexually d) sexually,d
"First, high temperature denatures proteins and does what to cells?",a) develops them b) finds them c) kills them d) exposes them,c
What term is used to describe a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself?,a) organism b) cell c) proteins d) atom,b
"By allowing blood levels of a hormone to be regulated within a narrow range, feedback loops contribute to maintaining what state?",a) hibernation b) hypothesis c) homeostasis d) consciousness,c
"Collagen fibers, elastic fibers, and reticular fibers comprise what type of tissue?",a) skin tissue b) nucleus tissue c) connective tissue d) intestine tissue,c
What the name of the disease where some of the alveoli of the lungs fill with fluid so they can no longer exchange gas?,a) leukemia b) emphysema c) lung cancer d) pneumonia,d
What occurs when groups from the same species stop mating because of something other than physical or geographic separation?,a) extinction b) invasive speciation c) complementary speciation d) sympatric speciation,d
What environment do animals with gills live in?,a) water b) air c) cold d) underground,a
What is the boiling and freezing point of water in celcius?,a) 100 degrees c and 32 degrees c b) 100 degrees c and 0 degrees c c) 212 degrees c and 0 degrees c d) 212 degrees c and 32 degrees c,b
What are living things that obtain glucose by eating self feeders called?,a) heterotrophs b) viruses c) producers d) chimeras,a
Virtually every task performed by living organisms requires this?,a) metals b) solids c) energy d) mineral,c
The binding of what helps eliminate antigens by phagocytosis and complement-mediated lysis,a) antibodies b) proteins c) amino acids d) fats,a
What muscles are used to pump water over the gills?,a) muscles and pharynx b) pharynx and tonsils c) jaws and pharynx d) lungs and pharynx,c
Compounds like sodium chloride form structures called what?,a) hydrocarbons b) crystals c) ions d) microorganisms,b
What are made of long chains consisting almost solely of carbon and hydrogen?,a) enzymes b) lipids c) proteins d) nucleic acids,b
"When a series of measurements is precise but not what, the error is usually systematic?",a) velocity b) color c) length d) accurate,d
Inserting copies of normal genes into a patient with defective genes is known as?,a) gene therapy b) chromosome treatment c) pattern therapy d) cloning,a
What type of reproduction usually occur during times of environmental stress?,a) sexual reproduction b) asexual reproduction c) internal reproduction d) hysterical reproduction,a
"All forms of energy can be interconverted. three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of what?",a) cold and energy b) temperature and work c) humidity and work d) heat and work,d
What science includes many fields of science related to our home planet?,a) biology b) zoology c) meteorology d) earth science,d
What are alloys that are mostly composed of mercury known as?,a) compounds b) amalgams c) fillings d) halogens,b
What are made from highly reflective metal that is applied to a curved or flat piece of glass?,a) mirrors b) prisms c) kaleidoscopes d) lenses,a
What do ranchers fear will happen if wolves return?,a) vegetation predation b) loss of environment c) livestock predation d) human predation,c
How many types of surface waves are there?,a) three b) over a hundred c) two d) six,c
What is the rigid layer that is found outside the cell membrane and surrounds the cell?,a) cell wall b) cell shield c) cell root d) cell barrier,a
"Surface tension of alveolar fluid, which is mostly water, creates an inward pull of the tissue of what organ?",a) spleen b) brain c) lung d) heart,c
What type of tumor mostly does not cause serious problems and can be completely removed by surgery?,a) toxic b) malignant c) persistent d) benign,d
What supports and protects the soft organs of the body?,a) skull b) Muscle c) Skin d) skeleton,d
What celestial body is the earth’s main source of energy?,a) moon b) ocean c) rivers d) sun,d
What do you call the horizontal stems of a strawberry plant that run over the ground surface?,a) stolons b) climbing vines c) sprouts d) root volunteers,a
Glaciers are incredibly powerful agents of what?,a) insulation b) erosion c) climate change d) extinction,b
What type of pressure is the pressure exerted by gas particles in earth’s atmosphere as those particles collide with objects?,a) adjacent pressure b) atmospheric pressure c) adjacent pressure d) vertical pressure,b
What helps the plasma membrane keep its shape?,a) molecules of carbohydrates b) molecules of cholesterol c) molecules of oxygen d) cytoplasm,b
What type of reproduction only involves one parent?,a) organic b) asexual c) primitive d) binary,b
"What is defined as a repeating series of events that include growth, dna synthesis, and cell division?",a) puberty b) photosynthesis c) meiosis d) cell cycle,d
"How metalloids behave in chemical interactions with other elements depends mainly on the number of what, in the outer energy level of their atoms?",a) neutrons b) protons c) positrons d) electrons,d
What distinguishing characteristic of annelid anatomy shows specialization and adaptation?,a) beautiful b) asymmetry c) compression d) segmentation,d
The spermatids are transported from the testes to where?,a) Duodenum b) vas c) abdominis d) epididymis,d
How does water from roots reach the leaves?,a) water-phobic cells b) water - combining cells c) water-conducting cells d) water - raising cells,c
"As a polycrystalline material solidifies, grains with irregular shapes form. the interfaces between grains constitute grain what?",a) obstacles b) patterns c) boundaries d) waves,c
Motors are the most common application of magnetic force on current-carrying wires. motors have loops of wire in this?,a) magnetic field b) electrical circuit c) capacitors d) spark plugs,a
What makes and stores pigments that give petals and fruit their orange and yellow colors?,a) pores b) protozoa c) chromoplasts d) sporozoans,c
What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?,a) freezing point b) evaporating point c) boiling point d) burning point,c
"When electrons return to a lower energy level, they emit the excess energy in the form of what?",a) light b) electricity c) energy d) weight,a
What is another term for nearsightedness?,a) hypoxia b) anemia c) glaucoma d) myopia,d
What are the areas located at fixed distances from the nucleus of the atom?,a) atomic regions b) energy levels c) orbit points d) molar levels,b
"In which state of matter do particles take the shape of their container, but cannot expand to fill it?",a) chemical b) mixture c) gas d) liquid,d
Runoff is likely to cause more what if the land is bare?,a) abrasion b) sediment c) weathering d) erosion,d
Cations have what type of charge?,a) neutral b) constant c) negative d) positive,d
"What organ is subdivided into ascending, descending, transverse and sigmoid parts?",a) uterus b) lungs c) heart d) colon,d
"Ammonia, urea, and uric acid are examples of what kind of waste?",a) oxygenous b) nitrogenous c) carbonous d) sulphurous,b
What are variants of genes called?,a) antigens b) allergens c) mutations d) alleles,d
"Mushrooms are an example of what type of organism, which includes beneficial and toxic specimens?",a) bacteria b) spores c) seeds d) fungi,d
Comparing what sequences provides clues to evolution and development?,a) genes b) organisms c) DNA d) genome,d
"What is a measure of the average amount of energy of motion, or kinetic energy, a system contains called?",a) precipitation b) variation c) size d) temperature,d
What is the minimum mass capable of supporting sustained fission called?,a) baseline mass b) particular mass c) critical mass d) concentrated mass,c
Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and what properties?,a) electrical b) chemical c) liquid d) radiation,b
"The secondary wall contains _________ , a secondary cell component in plant cells that have completed cell growth/expansion.",a) lignin b) cytoplasm c) glucogen d) cellulose,a
What does the cell cycle do?,a) create new cells b) only reproduce cells c) divide and reproduce cells d) only divide cells,c
"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?",a) nasal septum b) cytoplasm c) cerebral cortex d) cell wall,a
"Bacteria can be chemotrophs, which obtain what by breaking down chemical compounds in their environment?",a) energy b) waste c) food d) chemials,a
"Habitat loss, introduced species, overharvesting, and global change are major threats to what?",a) transportation b) biodiversity c) the earth's gravity d) the sun,b
"What ""plumbing"" structures inside the veins maintain a unidirectional flow of blood despite the low blood pressure?",a) pumps b) valves c) funnels d) tubes,b
What do we call the cartilaginous structure that surrounds the notochrod?,a) clavicle b) arcualia c) osteocytes d) membrane,b
What is the process of the transfer of pollen from an anther to a stigma in angiosperms called?,a) evolution b) pollination c) grabation d) wind,b
"Despite its small size, an erythrocyte contains about 250 million molecules of what?",a) calcium b) hemoglobin c) plasma d) potassium,b
How many variables are used to describe the condition of a gas?,a) five b) one c) four d) three,c
What is a suggested explanation for a phenomenon or a suggested explanation for a relationship between many phenomena called?,a) query b) hypothesis c) system d) process,b
Land plants are classified into two major groups according to the absence or presence of what tissue?,a) root b) vascular c) bacterial d) disease,b
What type of treatment is necessary for anaphylaxis?,a) outpatient b) emergency c) allergy shot d) intensive care,b
"What substances, which are distinct from acids and bases, form when ions form ionic bonds?",a) water molecules b) oils c) vitamins d) salts,d
What is the name for biochemical compounds that consist of one or more chains of small molecules called amino acids?,a) lipids b) proteins c) hormones d) protons,b
What are the ionic compounds that produce negative hydroxide ions when dissolved in water?,a) acids b) enzymes c) bases d) isotopes,c
"The atomic number of tungsten is 74. therefore, in a neutral atom of tungsten, there are 74 electrons. the atomic number of argon is 18. therefore, in a neutral atom of argon, there are how many electrons?",a) 18 b) 9 c) 74 d) 36,a
What is the apparatus used for carrying out an electrolysis reaction?,a) Golgi apparatus b) an aqueous cell c) catalyst d) an electrolytic cell,d
What two ways may light be transmitted?,a) magnified or scattered b) refracted or scattered c) reflected or refracted d) absorption and refraction,b
"Triggered by changes in the environment, migration and hibernation occur as cycles on what temporal basis?",a) annual b) bi-annually c) seasonally d) monthly,a
What pair of tubes that extends toward the ovaries features a fringelike structure that sweeps eggs inside?,a) golgi apparatus b) fallopian tubes c) ovarian tubes d) vas deferens,b
"In most animals, what sense is related to balance or equilibrium?",a) feeling b) vision c) hearing d) tasting,c
Terminal pods are located at the end of what?,a) stems b) fruits c) spines d) leaves,a
What forms when the spores from two parents fuse during sexual reproduction?,a) zygospore b) spirogyra c) xerophyte d) monospore,a
What is the name of the galaxy we live in?,a) milky way b) Andromeda c) Centaurus A d) Bode's Galaxy,a
What are the most common seedless vascular plants?,a) trees b) weeds c) grasses d) ferns,d
"In a monogamous pairing, a male individual is generally paired with what other type of individual in a sexual relationship?",a) male b) worker c) drone d) female,d
What is a mass spectrometer used to measure?,a) optical atomic masses b) subatomic masses c) partial atomic masses d) relative atomic masses,d
What combines sets of genes from two different parents leading to genetically diverse offspring?,a) sexual reproduction b) sexual destruction c) subject reproduction d) cellular reproduction,a
Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,a) warmer water b) rainforests c) greenhouse gases d) rain,a
What are groups of young stars loosely held together by gravity called?,a) closed clusters b) galaxies c) open clusters d) constellations,c
What does a pollinator pick up from its body and carry directly to another plant of the same species?,a) pollen b) spore c) seed d) pathogen,a
What is formed when an oxygen atom picks up a pair of hydrogen ions from a solution?,a) water b) liquid c) ammonia d) turpentine,a
What does the driving of turbines by the heating of water to steam accomplish?,a) absorption of electricity b) diffusion of electricity c) generation of electricity d) depletion of electricity,c
What is a device that changes kinetic energy to electrical energy through electromagnetic induction?,a) a diesel engine b) an electric generator c) a battery d) a windmill,b
How many naturally occurring elements are known on earth?,a) 85 b) 90 c) 60 d) 87,b
What are the two types of vesicle transport called?,a) epithelium and exocytosis b) dielectric and exocytosis c) endocytosis and exocytosis d) eptocytosis and exocytosis,c
What do you call a species that has died out in the past?,a) endangered b) remnant c) inhabit d) extinct,d
Where does the embryo develop in a plant?,a) inside the male plant after fertilization b) outside the female plant after fertilization c) inside the stem after fertilization d) inside the female plant after fertilization,d
What is the method of setting or correcting a measuring device by matching it to known measurement standards called?,a) parallax b) distortion c) precision d) calibration,d
What property of warm air causes it to rise above cold air?,a) lower density b) greater pressure c) higher temperature d) greater density,a
Which branch of biology studies animal behavior?,a) embryology b) anthropology c) ethology d) microbiology,c
What unit of measure is equal to the amount of work a horse can do in 1 minute?,a) torque b) joule c) watt d) horsepower,d
"What organism is characterized by an incomplete digestive system and a single, tentacled opening?",a) sponges b) annelids c) prokaryotes d) cnidarians,d
"What term is not the same as energy, but means the energy per unit charge?",a) mass b) frequency c) voltage d) speed,c
What specific part of the african violet is used to propagate other plants?,a) roots b) leaves c) petals d) spores,b
What are fibers that depend on aerobic respiration called?,a) oxidative fibers b) evaporative fibers c) fragile fibers d) hydrogen fibers,a
Which form of electromagnetic waves have more energy: low frequency wave or high frequency waves?,a) neither b) high frequency waves c) the same d) low frequency waves,b
Something that has all of the characteristics of life is considered to be what?,a) organism b) alive c) ecosystem d) molecule,b
What do the letters in our blood types represent?,a) iron levels b) genomes c) alleles d) proteins,c
The two stages of photosynthesis are the light reactions and what?,a) respiratory cycle b) digestive cycle c) calvin cycle d) reproductive cycle,c
What do living things need to survive?,a) heat b) molecules c) nutrients d) oxygen,c
The denser regions of the electron cloud are called what?,a) cores b) orbitals c) isotopes d) lattices,b
"In studying energy, what term do scientists use to refer to the matter and its environment involved in energy transfers?",a) molecule b) system c) world d) ecosystem,b
"To measure what changes that occur in chemical reactions, chemists usually use a related thermodynamic quantity, calledenthalpy?",a) ion exchange b) entropy c) energy d) evaporation,c
"A system in what state cannot spontaneously change, and therefore can do no work?",a) equality b) balance c) stability d) equilibrium,d
What is a species that plays an especially important role in it's community called?,a) Leader b) keystone c) complement d) Invasive,b
"What term that shows how fast a population is growing includes new members added to the population over a given period, as well as old members removed from the population?",a) population density b) emigration c) birth rate d) growth rate,d
The rings of what planet can be easily seen from earth?,a) saturn b) jupiter c) Venus d) Neptune,a
What planet is a blue green color?,a) sirius b) Mars c) uranus d) Mercury,c
The simplest class of organic compounds is the what?,a) particles b) Phenols c) gas d) hydrocarbons,d
Some meteorites are made of iron and nickel and are thought to be very similar to what part of the earth?,a) shelf b) core c) mantel d) crust,b
"Which pathway carries somatosensory information from the face, head, mouth, and nasal cavity?",a) posterior pathway b) dual pathway c) trigeminal pathway d) cranial pathway,c
The amount of kinetic energy in a moving object depends directly on its mass and what else?,a) volume b) density c) direction d) velocity,d
"Cycling, shoveling snow and cross-country skiing are examples of what kind of heart-strengthening activity?",a) exercise b) anaerobic c) metabolism d) aerobic,d
"What take the shape of their container, and are relatively easy to compress?",a) fluids b) molecules c) gases d) semi-fluids,c
What is moving air called?,a) steam b) humidity c) wind d) clouds,c
What property makes bone marrow cells ideal for gene therapy?,a) behavior reproduction b) irreversible reproduction c) lifelong reproduction d) Matching,c
What is the name of the two metalloids in the carbon group called?,a) titantium and copper b) silver and gold c) silicon and germanium d) silicon and gold,c
What is the name of the zone where water is deeper than 200 meters called?,a) aphotic zone b) euphotic zone c) eccentric zone d) transition zone,a
Diagnosing and treating cancer is a beneficial use of what potentially dangerous energy?,a) thermal b) mechanical c) radiation d) solar,c
Many adults and some children suffer from a deficiency of lactase. these individuals are said to be lactose intolerant because they cannot digest the lactose found in what?,a) meat b) peanuts c) fruit d) milk,d
"Three-prong plugs, circuit breakers, and gfci outlets are safety features that recognize the danger of what?",a) heat b) electricity c) gravity d) magnetism,b
